Class,Order,Family,Genus,org
Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia
Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii
Aves,Passeriformes,Phylloscopidae,Abrornis,Abrornis forresti
Aves,Passeriformes,Phylloscopidae,Abrornis,Abrornis kansuensis
Aves,Passeriformes,Phylloscopidae,Abrornis,Abrornis yunnanensis
Aves,Passeriformes,Sylviidae,Abroscopus,Abroscopus superciliaris
Aves,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris
Actinopteri,Perciformes,Pomacentridae,Acanthochromis,Acanthochromis polyacanthus
Actinopteri,Siluriformes,Doradidae,Acanthodoras,Acanthodoras cataphractus
Actinopteri,Siluriformes,Doradidae,Acanthodoras,Acanthodoras spinosissimus
Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,Acanthogobius hasta
Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus latus
Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus schlegelii
Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon celebensis
Actinopteri,Cypriniformes,Cyprinidae,Acheilognathus,Acheilognathus yamatsutae
Actinopteri,Pleuronectiformes,Achiridae,Achirus,Achirus lineatus
Actinopteri,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma arcasii
Actinopteri,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma oligolepis
Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser dabryanus
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser naccarii
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser persicus
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser schrenckii
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sinensis
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio
Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
Mammalia,Rodentia,Muridae,Acomys,Acomys ignitus
Mammalia,Rodentia,Muridae,Acomys,Acomys wilsoni
Amphibia,Anura,Hylidae,Acris,Acris crepitans
Mammalia,Diprotodontia,Acrobatidae,Acrobates,Acrobates pygmaeus
Aves,Passeriformes,Sylviidae,Acrocephalus,Acrocephalus arundinaceus
Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus arafurae
Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus granulatus
Actinopteri,Cypriniformes,Cyprinidae,Acrossocheilus,Acrossocheilus fasciatus
Reptilia,Testudines,Emydidae,Actinemys,Actinemys marmorata
Reptilia,Testudines,Emydidae,Actinemys,Actinemys pallida
Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus
Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos concinnus
Aves,Caprimulgiformes,Aegothelidae,Aegotheles,Aegotheles cristatus
Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus
Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,Aepyprymnus rufescens
Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus vanikorensis
Amphibia,Anura,Hylidae,Agalychnis,Agalychnis annae
Amphibia,Anura,Hylidae,Agalychnis,Agalychnis callidryas
Amphibia,Anura,Hylidae,Agalychnis,Agalychnis moreletii
Amphibia,Anura,Hylidae,Agalychnis,Agalychnis saltator
Amphibia,Anura,Hylidae,Agalychnis,Agalychnis spurrelli
Actinopteri,Siluriformes,Doradidae,Agamyxis,Agamyxis albomaculatus
Actinopteri,Siluriformes,Auchenipteridae,Ageneiosus,Ageneiosus ucayalensis
Aves,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingi
Amphibia,Anura,Mantellidae,Aglyptodactylus,Aglyptodactylus madagascariensis
Actinopteri,Perciformes,Agonidae,Agonopsis,Agonopsis chiloensis
Mammalia,Carnivora,Ursidae,Ailuropoda,Ailuropoda melanoleuca
Mammalia,Diprotodontia,Phalangeridae,Ailurops,Ailurops ursinus
Mammalia,Carnivora,Ailuridae,Ailurus,Ailurus fulgens
Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis
Actinopteri,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides bipunctatus
Actinopteri,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides fasciatus
Actinopteri,Cypriniformes,Cyprinidae,Alburnus,Alburnus tarichi
Aves,Passeriformes,Timaliidae,Alcippe,Alcippe morrisonia
Actinopteri,Cichliformes,Cichlidae,Alcolapia,Alcolapia grahami
Actinopteri,Carangiformes,Carangidae,Alectis,Alectis ciliaris
Aves,Galliformes,Phasianidae,Alectoris,Alectoris rufa
Aves,Galliformes,Megapodiidae,Alectura,Alectura lathami
Aves,Passeriformes,Turdidae,Alethe,Alethe castanea
Mammalia,Chiroptera,Pteropodidae,Alionycteris,Alionycteris paucidentata
Aves,Psittaciformes,Psittacidae,Alisterus,Alisterus scapularis
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga elater
