org1,org2,dst
Macaca fascicularis,Macaca mulatta,0.002159912032673578
Eumetopias jubatus,Zalophus californianus,0.002490942028985507
Astatotilapia calliptera,Maylandia zebra,0.003481894150417827
Falco cherrug,Falco peregrinus,0.00351213282247765
Delphinapterus leucas,Monodon monoceros,0.004177261169633128
Papio anubis,Theropithecus gelada,0.004225908372827804
Callorhinus ursinus,Eumetopias jubatus,0.004258789416455237
Macaca mulatta,Macaca nemestrina,0.004333438386385125
Camelus bactrianus,Camelus dromedarius,0.004376882530120482
Callorhinus ursinus,Zalophus californianus,0.004388346000723851
Poecilia formosa,Poecilia mexicana,0.004451733833177133
Macaca fascicularis,Macaca nemestrina,0.0044841269841269845
Camelus bactrianus,Camelus ferus,0.004495699765441751
Equus caballus,Equus przewalskii,0.004516926588056296
Pan paniscus,Pan troglodytes,0.004537563131313131
Acinonyx jubatus,Felis catus,0.004818083573487032
Macaca mulatta,Theropithecus gelada,0.004992138364779874
Lagenorhynchus obliquidens,Orcinus orca,0.005047723935389134
Equus asinus,Equus caballus,0.005107624954396206
Macaca fascicularis,Theropithecus gelada,0.005228136882129277
Poecilia formosa,Poecilia latipinna,0.005261927034611787
Bos indicus,Bos taurus,0.005278216258879242
Bos mutus,Bos taurus,0.005314055917273075
Camelus dromedarius,Camelus ferus,0.005327392483533514
Rhinopithecus bieti,Rhinopithecus roxellana,0.005523255813953488
Macaca mulatta,Papio anubis,0.005580006287331028
Astatotilapia calliptera,Haplochromis burtoni,0.005591798695246971
Cercocebus atys,Theropithecus gelada,0.00607721639656816
Lynx canadensis,Lynx pardinus,0.00615474794841735
Panthera pardus,Panthera tigris,0.006225296442687747
Macaca fascicularis,Papio anubis,0.0062460468058191014
Haplochromis burtoni,Maylandia zebra,0.006284916201117319
Capra hircus,Ovis aries,0.006296641791044776
Pteropus alecto,Pteropus vampyrus,0.0063760944042634184
Cercocebus atys,Macaca mulatta,0.006447784810126582
Homo sapiens,Pan troglodytes,0.006479236132161261
Astatotilapia calliptera,Pundamilia nyererei,0.006498109640831758
Mandrillus leucophaeus,Theropithecus gelada,0.006559282630355364
Ursus arctos,Ursus maritimus,0.006624758220502901
Bison bison,Bos taurus,0.006673811379579111
Cercocebus atys,Macaca fascicularis,0.0067319949012109625
Bison bison,Bos mutus,0.006743355811186037
Macaca nemestrina,Theropithecus gelada,0.0067481740234995235
Canis lupus,Vulpes vulpes,0.006749260355029586
Cercocebus atys,Mandrillus leucophaeus,0.00675
Cercocebus atys,Papio anubis,0.006865079365079365
Equus asinus,Equus przewalskii,0.006944444444444444
Maylandia zebra,Pundamilia nyererei,0.006964117091595845
Lepidothrix coronata,Pipra filicauda,0.00715619166148102
Felis catus,Lynx canadensis,0.00732884195193008
Macaca nemestrina,Papio anubis,0.0073856416772554
Macaca mulatta,Mandrillus leucophaeus,0.007396694214876033
Chrysemys picta,Terrapene carolina,0.007420091324200913
Mandrillus leucophaeus,Papio anubis,0.007571996027805362
Peromyscus leucopus,Peromyscus maniculatus,0.007577278201525491
Corapipo altera,Pipra filicauda,0.007606023355869699
Poecilia latipinna,Poecilia mexicana,0.007629107981220657
Haplochromis burtoni,Pundamilia nyererei,0.007686849574266793
Acinonyx jubatus,Lynx canadensis,0.007758620689655172
Macaca fascicularis,Mandrillus leucophaeus,0.007778881165177094
Chlorocebus sabaeus,Macaca fascicularis,0.00783237913486005
Chlorocebus sabaeus,Macaca mulatta,0.00784947933101925
Marmota flaviventris,Marmota marmota,0.007945516458569807
Chlorocebus sabaeus,Theropithecus gelada,0.008052999047921295
Felis catus,Panthera pardus,0.008073294629898404
Acinonyx jubatus,Panthera pardus,0.008128612716763005
