org,count
Notechis scutatus,128
Erpetoichthys calabaricus,127
Microcaecilia unicolor,126
Pseudonaja textilis,126
Aquila chrysaetos,122
Xenopus laevis,122
Lonchura striata,121
Taeniopygia guttata,121
Calypte anna,120
Zosterops borbonicus,120
Protobothrops mucrosquamatus,118
Python bivittatus,118
Rhinatrema bivittatum,118
Sarcophilus harrisii,118
Xenopus tropicalis,118
Pipra filicauda,117
Corapipo altera,116
Empidonax traillii,116
Lepisosteus oculatus,115
Nothoprocta perdicaria,115
Podarcis muralis,115
Pseudopodoces humilis,115
Alligator mississippiensis,114
Danio rerio,114
Pogona vitticeps,114
Serinus canaria,114
Sturnus vulgaris,114
Haliaeetus leucocephalus,113
Latimeria chalumnae,113
Lepidothrix coronata,113
Gallus gallus,112
Monodelphis domestica,112
Nipponia nippon,112
Parus major,112
Phascolarctos cinereus,112
Thamnophis sirtalis,112
Chrysemys picta,111
Numida meleagris,111
Columba livia,110
Dromaius novaehollandiae,110
Falco peregrinus,110
Gekko japonicus,110
Neopelma chrysocephalum,110
Pygocentrus nattereri,110
Vombatus ursinus,110
Apteryx rowi,109
Calidris pugnax,109
Chaetura pelagica,109
Ficedula albicollis,109
Manacus vitellinus,109
Rhincodon typus,109
Aptenodytes forsteri,108
Corvus brachyrhynchos,108
Gadus morhua,108
Gavialis gangeticus,108
Alligator sinensis,107
Anolis carolinensis,107
Apteryx australis,107
Astyanax mexicanus,107
Crocodylus porosus,107
Danionella translucida,107
Electrophorus electricus,107
Falco cherrug,107
Scleropages formosus,107
Struthio camelus,107
Callorhinchus milii,106
Chelonia mydas,106
Cuculus canorus,106
Gavia stellata,106
Tinamus guttatus,106
Buceros rhinoceros,105
Coturnix japonica,105
Hirundo rustica,105
Nanorana parkeri,105
Ornithorhynchus anatinus,105
Patagioenas fasciata,105
Zonotrichia albicollis,105
Charadrius vociferus,104
Corvus cornix,104
Opisthocomus hoazin,104
Paroedura picta,104
Picoides pubescens,104
Scophthalmus maximus,104
Terrapene carolina,104
Carassius auratus,103
Cyprinus carpio,103
Labrus bergylta,103
Cyanistes caeruleus,102
Erythrura gouldiae,102
Melopsittacus undulatus,102
Paramormyrops kingsleyae,102
Pygoscelis adeliae,102
Sparus aurata,102
Anser cygnoides,101
Balearica regulorum,101
Geospiza fortis,101
Gouania willdenowi,101
Pangasianodon hypophthalmus,101
Pelecanus crispus,101
Acanthisitta chloris,100
Amazona aestiva,100
Amphiprion ocellaris,100
Meleagris gallopavo,100
Phaethon lepturus,100
Salmo trutta,100
Sinocyclocheilus anshuiensis,100
Xiphophorus maculatus,100
Antrostomus carolinensis,99
Cynoglossus semilaevis,99
Oncorhynchus mykiss,99
Phalacrocorax carbo,99
Salvelinus alpinus,99
Tachysurus fulvidraco,99
Athene cunicularia,98
Austrofundulus limnaeus,98
Boleophthalmus pectinirostris,98
Ictalurus punctatus,98
Poecilia reticulata,98
Pterocles gutturalis,98
Salmo salar,98
Xiphophorus couchianus,98
Apaloderma vittatum,97
Clupea harengus,97
Egretta garzetta,97
Esox lucius,97
Haplochromis burtoni,97
Nestor notabilis,97
Platysternon megacephalum,97
Sphaeramia orbicularis,97
Anas platyrhynchos,96
Fulmarus glacialis,96
Fundulus heteroclitus,96
Hippocampus comes,96
Leptosomus discolor,96
Maylandia zebra,96
Merops nubicus,96
Oreochromis niloticus,96
Astatotilapia calliptera,95
Betta splendens,95
Denticeps clupeoides,95
Monopterus albus,95
Oncorhynchus kisutch,95
Oncorhynchus tshawytscha,95
Oryzias latipes,95
Oryzias melastigma,95
Parambassis ranga,95
Pelodiscus sinensis,95
Sinocyclocheilus grahami,95
Cottoperca gobio,94
Larimichthys crocea,94
Perca flavescens,94
Poecilia mexicana,94
Pundamilia nyererei,94
Sinocyclocheilus rhinocerous,94
Takifugu rubripes,94
Acanthochromis polyacanthus,93
Anabas testudineus,93
Echinops telfairi,93
Eurypyga helias,93
Kryptolebias marmoratus,93
Oncorhynchus nerka,93
Poecilia formosa,93
Stegastes partitus,93
Colius striatus,92
Mesitornis unicolor,92
Myotis lucifugus,92
Neolamprologus brichardi,92
Nothobranchius furzeri,92
Phyllostomus discolor,92
Poecilia latipinna,92
Tauraco erythrolophus,92
Gambusia affinis,91
Myripristis murdjan,91
Salarias fasciatus,91
Cariama cristata,90
Chlamydotis macqueenii,90
Haliaeetus albicilla,90
Lates calcarifer,90
Mastacembelus armatus,90
Ophiophagus hannah,90
Acipenser ruthenus,89
Cyprinodon variegatus,89
Ochotona princeps,89
Bambusicola thoracicus,88
Collichthys lucidus,88
Echeneis naucrates,88
Paralichthys olivaceus,88
Takifugu bimaculatus,88
Labeo rohita,87
Mustela putorius,87
Seriola dumerili,87
Seriola lalandi,87
Tyto alba,87
Colinus virginianus,86
Sorex araneus,86
Dasypus novemcinctus,85
Limosa lapponica,85
Myotis brandtii,85
Oryzias javanicus,85
Takifugu flavidus,85
Callipepla squamata,84
Enhydra lutris,84
Tetraodon nigroviridis,84
Desmodus rotundus,83
Elephantulus edwardii,83
Myotis davidii,83
Octodon degus,82
Capra hircus,81
Eptesicus fuscus,81
Lynx canadensis,81
Mus musculus,80
Podiceps cristatus,80
Suricata suricatta,79
Acinonyx jubatus,78
Bagarius yarrelli,78
Felis catus,78
Loxodonta africana,78
Ovis aries,78
Panthera pardus,78
Grammomys surdaster,77
Mus caroli,77
Trichechus manatus,77
Bos taurus,76
Puma concolor,76
Callorhinus ursinus,75
Ictidomys tridecemlineatus,75
Mus pahari,75
Phoenicopterus ruber,75
Urocitellus parryii,75
Vicugna pacos,75
Bison bison,74
Camelus dromedarius,74
Chinchilla lanigera,74
Marmota flaviventris,74
Meriones unguiculatus,74
Sus scrofa,74
Bos mutus,73
Bubalus bubalis,73
Ceratotherium simum,73
Chrysochloris asiatica,73
Equus asinus,73
Equus caballus,73
Manis javanica,73
Miniopterus natalensis,73
Monodon monoceros,73
Ursus arctos,73
Anabarilius grahami,72
Camelus bactrianus,72
Notothenia coriiceps,72
Orcinus orca,72
Rousettus aegyptiacus,72
Bos indicus,71
Cavia porcellus,71
Panthera tigris,71
Rattus norvegicus,71
Delphinapterus leucas,70
Heterocephalus glaber,70
Lagenorhynchus obliquidens,70
Lynx pardinus,70
Marmota marmota,70
Neomonachus schauinslandi,70
Otolemur garnettii,70
Tupaia chinensis,70
Camelus ferus,69
Erinaceus europaeus,69
Eumetopias jubatus,69
Liparis tanakae,69
Ailuropoda melanoleuca,68
Canis lupus,68
Cathartes aura,68
Neophocaena asiaeorientalis,68
Odocoileus virginianus,68
Physeter catodon,68
Pteropus alecto,68
Zalophus californianus,68
Fukomys damarensis,67
Tursiops truncatus,67
Ursus maritimus,67
Equus przewalskii,66
Orycteropus afer,66
Peromyscus leucopus,66
Vulpes vulpes,66
Leptonychotes weddellii,65
Lipotes vexillifer,65
Nannospalax galili,65
Odobenus rosmarus,65
Castor canadensis,64
Cricetulus griseus,64
Dipodomys ordii,64
Mesocricetus auratus,64
Oryctolagus cuniculus,64
Peromyscus maniculatus,64
Hipposideros armiger,63
Microtus ochrogaster,63
Carlito syrichta,62
Condylura cristata,62
Jaculus jaculus,62
Pteropus vampyrus,62
Balaenoptera acutorostrata,61
Sousa chinensis,61
Microcebus murinus,60
Galeopterus variegatus,56
Gulo gulo,54
Rana catesbeiana,53
Propithecus coquereli,51
Neotoma lepida,50
Cervus elaphus,47
Cebus capucinus,43
Callithrix jacchus,42
Aotus nancymaae,40
Cercocebus atys,33
Theropithecus gelada,32
Rhinopithecus bieti,31
Saimiri boliviensis,31
Rhinopithecus roxellana,29
Macaca mulatta,27
Mandrillus leucophaeus,27
Papio anubis,27
Chlorocebus sabaeus,26
Colobus angolensis,26
Macaca fascicularis,26
Macaca nemestrina,26
Piliocolobus tephrosceles,25
Pongo abelii,19
Nomascus leucogenys,15
Pan paniscus,9
Gorilla gorilla,6
Pan troglodytes,5
